id,complaint_text,category,department,auto_reply
42,I get shortness of breath when walking This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
43,The hospital billing process is very slow The condition seems to be getting worse.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
44,My child has developed a skin rash This problem appears after physical activity.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
45,My child feels weak and tired often Please guide me on what to do next.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
46,My ankle hurts after a minor fall The condition seems to be getting worse.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
47,The appointment system is confusing I need medical advice regarding this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
48,My hip hurts while climbing stairs I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
49,My blood pressure suddenly increases I need medical advice regarding this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
50,I have an itchy rash on my arms The discomfort increases during the night.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
51,Cleaning staff did not visit today This problem appears after physical activity.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
52,The hospital billing process is very slow I need medical advice regarding this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
53,My child feels weak and tired often This issue started two days ago.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
54,My blood pressure suddenly increases Please guide me on what to do next.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
55,My skin feels extremely dry and flaky Please guide me on what to do next.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
56,I have severe migraines every week This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
57,My scalp has persistent itching This problem has been happening for a week.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
58,My lower back hurts when sitting long hours This issue started two days ago.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
59,The bathroom water is not clean The discomfort increases during the night.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
60,The reception staff did not respond properly This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
61,My ankle hurts after a minor fall This problem has been happening for a week.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
62,I notice dark patches appearing on my skin This issue started two days ago.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
64,I feel a heavy sensation in my chest after meals Please guide me on what to do next.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
65,The hospital phone line is always busy This problem appears after physical activity.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
67,I feel numbness in my hands and legs The condition seems to be getting worse.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
68,The doctor appointment was delayed for more than an hour This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
69,My blood pressure suddenly increases This problem appears after physical activity.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
70,My child has frequent coughing at night The discomfort increases during the night.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
71,The restroom is not hygienic This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
72,The patient room floor is dirty I would like a doctor consultation for this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
73,The doctor appointment was delayed for more than an hour This problem is affecting my daily activities.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
74,I cannot lift heavy objects due to arm pain The discomfort increases during the night.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
75,My hip hurts while climbing stairs This issue started two days ago.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
76,I sometimes lose balance while walking I am worried about this situation.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
77,The bedsheets were not changed This problem appears after physical activity.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
78,I feel chest pain when climbing stairs The condition seems to be getting worse.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
79,I have frequent palpitations during the day This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
80,I experience occasional memory problems This problem is affecting my daily activities.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
81,My skin becomes red and irritated frequently I am worried about this situation.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
82,The bathroom water is not clean I would like a doctor consultation for this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
83,My hip hurts while climbing stairs I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
84,I feel numbness in my hands and legs This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
86,I sometimes lose balance while walking The discomfort increases during the night.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
87,I developed small bumps on my neck This problem appears after physical activity.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
88,I have sudden acne breakouts I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
90,My skin becomes red and irritated frequently The discomfort increases during the night.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
91,My skin becomes red and irritated frequently This problem is affecting my daily activities.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
92,Trash bins are overflowing in the ward Please guide me on what to do next.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
93,I experience pressure in my chest at night This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
94,The bedsheets were not changed This problem is affecting my daily activities.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
95,My child has frequent coughing at night This problem is affecting my daily activities.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
96,I have frequent headaches that last for hours This issue started two days ago.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
98,The bathroom water is not clean I am worried about this situation.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
99,I get shortness of breath when walking The condition seems to be getting worse.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
100,I developed a burning sensation on my skin The discomfort increases during the night.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
101,My ankle hurts after a minor fall I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
103,The patient room floor is dirty I need medical advice regarding this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
105,I experience occasional memory problems This problem appears after physical activity.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
106,I have frequent palpitations during the day I am worried about this situation.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
107,I notice dark patches appearing on my skin I am worried about this situation.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
110,I feel chest pain when climbing stairs This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
111,I get shortness of breath when walking I need medical advice regarding this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
113,I sometimes lose balance while walking I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
114,The doctor appointment was delayed for more than an hour I would like a doctor consultation for this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
115,My child refuses to eat food properly The discomfort increases during the night.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
116,I experience pressure in my chest at night I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
117,My child has difficulty sleeping at night I am worried about this situation.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
119,I experience occasional memory problems I am worried about this situation.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
121,The registration process takes too long This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
122,I cannot lift heavy objects due to arm pain I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
123,The ward room is not cleaned properly I am worried about this situation.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
124,My child has vomiting issues since morning This issue started two days ago.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
126,I developed small bumps on my neck This problem has been happening for a week.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
127,I feel dizziness along with chest tightness I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
128,My ankle hurts after a minor fall I am worried about this situation.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
129,My child complains about stomach pain The condition seems to be getting worse.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
130,I sometimes lose balance while walking This issue started two days ago.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
131,My child has a continuous fever since yesterday This problem is affecting my daily activities.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
132,I feel dizziness along with chest tightness I need medical advice regarding this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
133,My child has developed a skin rash Please guide me on what to do next.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
134,I have severe migraines every week I need medical advice regarding this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
136,I experience occasional memory problems The discomfort increases during the night.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
137,My hip hurts while climbing stairs I am worried about this situation.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
139,The registration process takes too long I am worried about this situation.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
140,The hospital corridor smells unpleasant This problem has been happening for a week.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
144,I feel dizziness along with chest tightness This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
145,The hospital billing process is very slow This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
147,The hospital phone line is always busy The condition seems to be getting worse.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
149,Cleaning staff did not visit today The condition seems to be getting worse.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
150,I feel tingling sensations in my arms This problem appears after physical activity.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
151,My child has difficulty sleeping at night This problem is affecting my daily activities.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
154,The doctor appointment was delayed for more than an hour The condition seems to be getting worse.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
155,My heartbeat becomes irregular during exercise I need medical advice regarding this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
156,The hospital corridor smells unpleasant Please guide me on what to do next.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
157,The registration process takes too long I would like a doctor consultation for this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
158,My heartbeat becomes irregular during exercise I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
159,I feel chest pain when climbing stairs I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
160,The patient room floor is dirty This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
161,I have persistent knee pain when walking This problem is affecting my daily activities.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
162,I feel dizziness along with chest tightness This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
163,The bathroom water is not clean This problem is affecting my daily activities.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
164,I feel stiffness in my shoulder every morning I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
165,The hospital corridor smells unpleasant I am worried about this situation.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
166,I have persistent knee pain when walking This problem appears after physical activity.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
167,My heartbeat becomes irregular during exercise This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
168,I have pain in my wrist while typing This problem has been happening for a week.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
169,I feel stiffness in my shoulder every morning I am worried about this situation.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
170,I experience pressure in my chest at night The condition seems to be getting worse.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
171,My child feels weak and tired often I am worried about this situation.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
172,I have pain in my wrist while typing Please guide me on what to do next.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
174,I get shortness of breath when walking This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
175,My child has a continuous fever since yesterday I need medical advice regarding this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
176,My child has vomiting issues since morning This problem has been happening for a week.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
179,My skin becomes red and irritated frequently This issue started two days ago.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
180,My child feels weak and tired often The discomfort increases during the night.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
181,My lower back hurts when sitting long hours I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
182,The patient room floor is dirty This problem is affecting my daily activities.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
184,I have difficulty concentrating lately This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
185,My child complains about stomach pain The discomfort increases during the night.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
186,My child has developed a skin rash This issue started two days ago.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
187,My skin feels extremely dry and flaky I need medical advice regarding this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
189,My joints feel swollen after physical work The discomfort increases during the night.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
192,I have an itchy rash on my arms This problem appears after physical activity.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
195,The waiting area is overcrowded The condition seems to be getting worse.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
196,I have an itchy rash on my arms I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
197,My child has developed a skin rash The condition seems to be getting worse.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
198,The restroom is not hygienic I would like a doctor consultation for this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
199,My ankle hurts after a minor fall This issue started two days ago.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
201,I have frequent palpitations during the day This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
202,The reception staff did not respond properly Please guide me on what to do next.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
203,The registration process takes too long Please guide me on what to do next.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
204,My child has vomiting issues since morning This problem is affecting my daily activities.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
205,My child has frequent coughing at night The condition seems to be getting worse.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
206,The hospital billing process is very slow The discomfort increases during the night.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
207,I feel tingling sensations in my arms This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
208,The bathroom water is not clean This problem appears after physical activity.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
209,The waiting area is overcrowded This problem appears after physical activity.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
211,I feel chest pain when climbing stairs This issue started two days ago.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
212,I have an itchy rash on my arms Please guide me on what to do next.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
213,I have frequent headaches that last for hours This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
214,The ward room is not cleaned properly The discomfort increases during the night.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
215,My child has difficulty sleeping at night This problem has been happening for a week.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
217,The patient room floor is dirty This problem appears after physical activity.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
219,Trash bins are overflowing in the ward This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
221,The reception staff did not respond properly I am worried about this situation.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
223,My lower back hurts when sitting long hours The condition seems to be getting worse.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
224,I have severe migraines every week This problem appears after physical activity.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
225,The doctor appointment was delayed for more than an hour I need medical advice regarding this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
226,I experience sudden dizziness when standing Please guide me on what to do next.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
230,I have difficulty concentrating lately This problem appears after physical activity.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
231,I feel chest pain when climbing stairs This problem appears after physical activity.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
232,My child refuses to eat food properly I would like a doctor consultation for this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
233,I cannot lift heavy objects due to arm pain I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
234,The registration process takes too long This issue started two days ago.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
235,My lower back hurts when sitting long hours I am worried about this situation.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
236,I feel numbness in my hands and legs The discomfort increases during the night.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
237,The doctor appointment was delayed for more than an hour The discomfort increases during the night.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
238,I have severe migraines every week The condition seems to be getting worse.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
239,I experience sudden dizziness when standing This issue started two days ago.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
240,The ward room is not cleaned properly This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
242,The hospital phone line is always busy This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
243,I have difficulty concentrating lately I need medical advice regarding this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
246,The ward room is not cleaned properly I would like a doctor consultation for this issue.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
247,I feel a heavy sensation in my chest after meals This problem has been happening for a week.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
248,My child complains about stomach pain I would like a doctor consultation for this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
249,I have difficulty concentrating lately Please guide me on what to do next.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
252,I have severe migraines every week I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
253,Cleaning staff did not visit today This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
256,I have persistent knee pain when walking Please guide me on what to do next.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
257,I feel tingling sensations in my arms I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
259,The ward room is not cleaned properly This problem is affecting my daily activities.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
260,I experience sudden dizziness when standing I am worried about this situation.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
261,I have pain in my wrist while typing I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
263,My scalp has persistent itching This issue started two days ago.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
265,My child has vomiting issues since morning I would like a doctor consultation for this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
266,I have frequent palpitations during the day This problem is affecting my daily activities.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
267,My lower back hurts when sitting long hours This problem is affecting my daily activities.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
269,I get shortness of breath when walking This problem appears after physical activity.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
271,My child has vomiting issues since morning I need medical advice regarding this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
273,I experience occasional memory problems I need medical advice regarding this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
279,I developed small bumps on my neck Please guide me on what to do next.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
280,My skin becomes red and irritated frequently The condition seems to be getting worse.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
281,I have frequent headaches that last for hours This problem appears after physical activity.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
282,The appointment system is confusing This problem is affecting my daily activities.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
283,The patient room floor is dirty Please guide me on what to do next.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
285,I feel numbness in my hands and legs This issue started two days ago.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
286,I have frequent headaches that last for hours I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
287,I feel a heavy sensation in my chest after meals I am worried about this situation.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
289,My lower back hurts when sitting long hours The discomfort increases during the night.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
292,The bathroom water is not clean This problem has been happening for a week.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
295,I have an itchy rash on my arms This problem has been happening for a week.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
297,My child has vomiting issues since morning The condition seems to be getting worse.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
298,I have persistent knee pain when walking I would like a doctor consultation for this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
299,The appointment system is confusing The condition seems to be getting worse.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
300,My scalp has persistent itching I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
302,My blood pressure suddenly increases I would like a doctor consultation for this issue.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
307,My skin becomes red and irritated frequently I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
308,I get shortness of breath when walking The discomfort increases during the night.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
